time (UTC),longitude (degrees_east),latitude (degrees_north)
2012-02-15T18:00:00Z,109.997,-21.119
2012-02-16T00:00:00Z,109.933,-21.192
2012-02-16T06:00:00Z,109.889,-21.223
2012-02-16T12:00:00Z,109.773,-21.234
2012-02-16T18:00:00Z,109.641,-21.287
2012-02-17T00:00:00Z,109.537,-21.354
2012-02-17T06:00:00Z,109.475,-21.39
2012-02-17T12:00:00Z,109.407,-21.388
2012-02-17T18:00:00Z,109.292,-21.368
2012-02-18T00:00:00Z,109.22,-21.369
2012-02-18T06:00:00Z,109.087,-21.374
2012-02-18T12:00:00Z,109.017,-21.368
2012-02-18T18:00:00Z,108.947,-21.338
2012-02-19T00:00:00Z,108.885,-21.306
2012-02-19T06:00:00Z,108.817,-21.263
2012-02-19T12:00:00Z,108.755,-21.222
2012-02-19T18:00:00Z,108.709,-21.187
2012-02-20T00:00:00Z,108.663,-21.147
2012-02-20T06:00:00Z,108.642,-21.113
2012-02-20T12:00:00Z,108.63,-21.062
2012-02-20T18:00:00Z,108.604,-21.012
2012-02-21T00:00:00Z,108.58,-20.967
2012-02-21T06:00:00Z,108.563,-20.936
2012-02-21T12:00:00Z,108.587,-20.899
2012-02-21T18:00:00Z,108.608,-20.847
2012-02-22T00:00:00Z,108.61,-20.782
2012-02-22T06:00:00Z,108.6,-20.744
2012-02-22T12:00:00Z,108.618,-20.717
2012-02-22T18:00:00Z,108.656,-20.703
2012-02-23T00:00:00Z,108.705,-20.659
2012-02-23T06:00:00Z,108.728,-20.609
2012-02-23T12:00:00Z,108.755,-20.579
2012-02-23T18:00:00Z,108.768,-20.574
2012-02-24T00:00:00Z,108.815,-20.573
2012-02-24T06:00:00Z,108.873,-20.568
2012-02-24T12:00:00Z,108.908,-20.554
2012-02-24T18:00:00Z,108.956,-20.552
2012-02-25T00:00:00Z,108.998,-20.557
2012-02-25T06:00:00Z,109.045,-20.586
2012-02-25T12:00:00Z,109.091,-20.61
2012-02-25T18:00:00Z,109.155,-20.647
2012-02-26T00:00:00Z,109.196,-20.683
2012-02-26T06:00:00Z,109.22,-20.728
2012-02-26T12:00:00Z,109.259,-20.793
2012-02-26T18:00:00Z,109.325,-20.874
2012-02-27T00:00:00Z,109.348,-20.947
2012-02-27T06:00:00Z,109.358,-21.017
2012-02-27T12:00:00Z,109.359,-21.097
2012-02-27T18:00:00Z,109.37,-21.226
2012-02-28T00:00:00Z,109.38,-21.318
2012-02-28T06:00:00Z,109.354,-21.406
2012-02-28T12:00:00Z,109.314,-21.499
2012-02-28T18:00:00Z,109.282,-21.599
2012-02-29T00:00:00Z,109.252,-21.674
2012-02-29T06:00:00Z,109.215,-21.754
2012-02-29T12:00:00Z,109.174,-21.825
2012-02-29T18:00:00Z,109.134,-21.888
2012-03-01T00:00:00Z,109.093,-21.956
2012-03-01T06:00:00Z,109.072,-22.004
2012-03-01T12:00:00Z,109.037,-22.058
2012-03-01T18:00:00Z,109.002,-22.104
2012-03-02T00:00:00Z,108.964,-22.135
2012-03-02T06:00:00Z,108.915,-22.167
2012-03-02T12:00:00Z,108.865,-22.211
2012-03-02T18:00:00Z,108.842,-22.246
2012-03-03T00:00:00Z,108.805,-22.264
2012-03-03T06:00:00Z,108.774,-22.283
2012-03-03T12:00:00Z,108.724,-22.305
2012-03-03T18:00:00Z,108.683,-22.332
2012-03-04T00:00:00Z,108.653,-22.361
2012-03-04T06:00:00Z,108.65,-22.384
2012-03-04T12:00:00Z,108.625,-22.379
2012-03-04T18:00:00Z,108.584,-22.392
2012-03-05T00:00:00Z,108.534,-22.407
2012-03-05T06:00:00Z,108.51,-22.445
2012-03-05T12:00:00Z,108.492,-22.444
2012-03-05T18:00:00Z,108.462,-22.448
2012-03-06T00:00:00Z,108.424,-22.436
2012-03-06T06:00:00Z,108.373,-22.463
2012-03-06T12:00:00Z,108.343,-22.476
2012-03-06T18:00:00Z,108.332,-22.482
2012-03-07T00:00:00Z,108.294,-22.457
2012-03-07T06:00:00Z,108.217,-22.468
2012-03-07T12:00:00Z,108.155,-22.499
2012-03-07T18:00:00Z,108.097,-22.51
2012-03-08T00:00:00Z,108.051,-22.523
2012-03-08T06:00:00Z,107.955,-22.55
2012-03-08T12:00:00Z,107.909,-22.537
2012-03-08T18:00:00Z,107.856,-22.53
2012-03-09T00:00:00Z,107.802,-22.522
2012-03-09T06:00:00Z,107.78,-22.515
2012-03-09T12:00:00Z,107.762,-22.488
2012-03-09T18:00:00Z,107.722,-22.465
2012-03-10T00:00:00Z,107.684,-22.436
2012-03-10T06:00:00Z,107.635,-22.42
2012-03-10T12:00:00Z,107.605,-22.417
2012-03-10T18:00:00Z,107.602,-22.399
2012-03-11T00:00:00Z,107.565,-22.349
2012-03-11T06:00:00Z,107.55,-22.332
2012-03-11T12:00:00Z,107.492,-22.312
2012-03-11T18:00:00Z,107.478,-22.31
2012-03-12T00:00:00Z,107.472,-22.274
2012-03-12T06:00:00Z,107.442,-22.223
2012-03-12T12:00:00Z,107.395,-22.191
2012-03-12T18:00:00Z,107.37,-22.183
2012-03-13T00:00:00Z,107.342,-22.171
2012-03-13T06:00:00Z,107.324,-22.135
2012-03-13T12:00:00Z,107.285,-22.102
2012-03-13T18:00:00Z,107.243,-22.083
2012-03-14T00:00:00Z,107.23,-22.075
2012-03-14T06:00:00Z,107.19,-22.055
2012-03-14T12:00:00Z,107.142,-22.015
2012-03-14T18:00:00Z,107.12,-21.998
2012-03-15T00:00:00Z,107.049,-21.959
2012-03-15T06:00:00Z,107.001,-21.978
2012-03-15T12:00:00Z,107.002,-21.943
2012-03-15T18:00:00Z,106.97,-21.931
2012-03-16T00:00:00Z,106.934,-21.907
2012-03-16T06:00:00Z,106.91,-21.92
2012-03-16T12:00:00Z,106.939,-21.889
2012-03-16T18:00:00Z,106.93,-21.865
2012-03-17T00:00:00Z,106.922,-21.803
2012-03-17T06:00:00Z,106.881,-21.812
2012-03-17T12:00:00Z,106.907,-21.799
2012-03-17T18:00:00Z,106.918,-21.779
2012-03-18T00:00:00Z,106.93,-21.711
2012-03-18T06:00:00Z,106.875,-21.687
2012-03-18T12:00:00Z,106.868,-21.685
2012-03-18T18:00:00Z,106.878,-21.701
2012-03-19T00:00:00Z,106.917,-21.666
2012-03-19T06:00:00Z,106.912,-21.617
2012-03-19T12:00:00Z,106.875,-21.579
2012-03-19T18:00:00Z,106.86,-21.578
2012-03-20T00:00:00Z,106.858,-21.582
2012-03-20T06:00:00Z,106.844,-21.572
2012-03-20T12:00:00Z,106.83,-21.556
2012-03-20T18:00:00Z,106.812,-21.557
2012-03-21T00:00:00Z,106.81,-21.555
2012-03-21T06:00:00Z,106.804,-21.534
2012-03-21T12:00:00Z,106.78,-21.527
2012-03-21T18:00:00Z,106.782,-21.521
2012-03-22T00:00:00Z,106.772,-21.506
2012-03-22T06:00:00Z,106.755,-21.489
2012-03-22T12:00:00Z,106.73,-21.503
2012-03-22T18:00:00Z,106.748,-21.499
2012-03-23T00:00:00Z,106.758,-21.482
2012-03-23T06:00:00Z,106.77,-21.445
2012-03-23T12:00:00Z,106.741,-21.434
2012-03-23T18:00:00Z,106.742,-21.419
2012-03-24T00:00:00Z,106.756,-21.435
2012-03-24T06:00:00Z,106.788,-21.405
2012-03-24T12:00:00Z,106.782,-21.373
2012-03-24T18:00:00Z,106.772,-21.351
2012-03-25T00:00:00Z,106.76,-21.36
2012-03-25T06:00:00Z,106.778,-21.359
2012-03-25T12:00:00Z,106.798,-21.349
2012-03-25T18:00:00Z,106.81,-21.321
2012-03-26T00:00:00Z,106.8,-21.295
2012-03-26T06:00:00Z,106.79,-21.301
2012-03-26T12:00:00Z,106.798,-21.31
2012-03-26T18:00:00Z,106.817,-21.304
2012-03-27T00:00:00Z,106.828,-21.283
2012-03-27T06:00:00Z,106.838,-21.271
2012-03-27T12:00:00Z,106.815,-21.252
2012-03-27T18:00:00Z,106.798,-21.286
2012-03-28T00:00:00Z,106.782,-21.291
2012-03-28T06:00:00Z,106.78,-21.305
2012-03-28T12:00:00Z,106.762,-21.301
